"cell_chembl_id","cell_description","cell_id","cell_name","cell_source_organism","cell_source_tax_id","cell_source_tissue","cellosaurus_id","cl_lincs_id","clo_id","efo_id"
"CHEMBL3307776","L2987 (Lung adenocarcinoma cells)","801","L2987","Homo sapiens","9606","Lung adenocarcinoma cells","CVCL_H586","","",""
"CHEMBL3307777","T98G (Glioblastoma cells)","802","T98G","Homo sapiens","9606","Glioblastoma cells","CVCL_0556","LCL-1357","CLO_0009258","EFO_0002085"
"CHEMBL3308469","L6 (Skeletal muscle myoblast cells)","803","L6","Rattus norvegicus","10116","Skeletal muscle myoblast cells","CVCL_0385","","CLO_0007203",""
"CHEMBL3308481","HN5 (Squamous cell carcinoma)","804","HN5","Homo sapiens","9606","Squamous cell carcinoma","CVCL_8128","","",""
"CHEMBL3307778","Mixed cortical cells","805","Mixed cortical cells","Rattus norvegicus","10116","Mixed cortical cells","","","",""
"CHEMBL3307779","F5.12 (IL3-dependent haematopoietic cells)","806","F5.12","Mus musculus","10090","IL3-dependent haematopoietic cells","","","",""
"CHEMBL3307780","PPC-1 (Primary prostatic carcinoma cells)","807","PPC-1","Homo sapiens","9606","Primary prostatic carcinoma cells","CVCL_4778","","",""
"CHEMBL3307781","BJ (Foreskin fibroblast cells)","808","BJ","Homo sapiens","9606","Foreskin fibroblast cells","CVCL_3653","","CLO_0001980","EFO_0002779"
"CHEMBL3307782","KM-20L2 (Colon carcinoma cells)","809","KM-20L2","Homo sapiens","9606","Colon carcinoma cells","CVCL_D889","","",""
"CHEMBL3307783","HOP-18 (Non-small cell lung adenocarcinoma cells)","810","HOP-18","Homo sapiens","9606","Non-small cell lung adenocarcinoma cells","CVCL_H642","","",""
"CHEMBL3307784","SN12K1 (Lung metastasis of renal carcinoma cells)","811","SN12K1","Homo sapiens","9606","Lung metastasis of renal carcinoma cells","CVCL_D106","","",""
"CHEMBL3307785","CHO-M19 (S2P-deficient ovarian cells)","812","CHO-M19","Cricetulus griseus","10029","S2P-deficient ovarian cells","CVCL_H628","","",""
"CHEMBL3307786","Clone 62 cell line","813","Clone 62","","","","","","",""
"CHEMBL3308484","D54 cell line","814","D54 cell line","","","","CVCL_7185","","","EFO_0002782"
